Keyword,Profession,Regex,CaseSensitive
chief \w+ officer,Executive,1,
chief architect,Executive,,
chairman,Executive,,
chief of staff,Executive,,
commissioner,Executive,,
director,Executive,,
board of directors,Executive,,
fellow,Executive,,
president,Executive,,
treasurer,Executive,,
principal,Executive,,
vice chair,Executive,,
supervisor,Executive,,
foreman,Executive,,
general manager,Executive,,
manager,Executive,,
vice president,Executive,,
advertising,Marketing,,
brand manager,Marketing,,
branding,Marketing,,
copywriter,Marketing,,
market research,Marketing,,
market researcher,Marketing,,
marketing,Marketing,,
online market,Marketing,,
public relations,Marketing,,
advertiser,Marketing,,
salesman,Marketing,,
salesperson,Marketing,,
sales person,Marketing,,
sales agent,Marketing,,
technical sales,Marketing,,
sales,Marketing,,
telesales,Marketing,,
mass communication,Marketing,,
mass media,Marketing,,
mass-media,Marketing,,
massmedia,Marketing,,
design,Designer,,
designer,Designer,,
graphics,Designer,,
graphical,Designer, ,
engineer,Engineer,,
developer,Engineer,,
codemonkey,Engineer,,
code monkey,Engineer,,
tester,Engineer,,
programmer,Engineer,,
data scientist,Engineer,,
data analyst,Engineer,,
coder,Engineer,,
database,Engineer,,
software,Engineer,,
hardware ,Engineer,,
html developer,Engineer,,
it consultant,Engineer,,
java,Engineer,,
linux,Engineer,,
headhunter,HR,,
recruiter,HR,,
recruitment,HR,,
student,Academic,,
professor,Academic,,
freshman,Academic,,
sophomore,Academic,,
final year,Academic,,
final yr,Academic,,
sophmore,Academic,,
college,Academic,,
school,Academic,,
teach,Academic,,
blogger,Media,,
broadcaster,Media,,
editor,Media,,
author,Media,,
journalist,Media,,
reporter,Media,,
newswriter,Media,,
columnist,Media,,
photojournalist,Media,,
writer,Media,,
C[A-Z]O,Executive,1,
VP,Executive,,1
SVP,Executive,,1
PR,Marketing,,1
QA,Engineer,,1
HR,HR,,1